Date,Open,High,Low,Close,Adj Close,Volume,EMA20,EMA26,EMA50,DEMA20,DEMA26,DEMA50,MACD,MACD-HISTOGRAM,MACD-SIGNAL,RSI5,RSI14,RSI21,RSI5SIGNAL,RSI14SIGNAL,RSI21SIGNAL
2023-10-27,59.7400016784668,60.25,59.380001068115234,59.5,59.06796646118164,556835,,,,,,,,,,,,,50,50,50
2023-10-30,60.779998779296875,63.36000061035156,60.54999923706055,61.34000015258789,60.89460754394531,311055,,,,,,,,,,,,,50,50,50
2023-10-31,60.529998779296875,62.97999954223633,60.029998779296875,60.40999984741211,59.97135925292969,796363,,,,,,,,,,,,,50,50,50
2023-11-01,60.790000915527344,60.790000915527344,58.959999084472656,59.0,58.571598052978516,393769,,,,,,,,,,,,,50,50,50
2023-11-02,58.279998779296875,58.650001525878906,57.86000061035156,58.25,57.82704544067383,2200549,,,,,,,,,,,,,50,50,50
2023-11-03,59.2599983215332,59.45000076293945,58.5,58.939998626708984,58.51203155517578,324292,,,,,,,,,,42.18494223194267,,,50,50,50
2023-11-06,60.290000915527344,60.31999969482422,59.5,59.5,59.06796646118164,3448964,,,,,,,,,,52.00261228681508,,,50,50,50
2023-11-07,57.400001525878906,59.310001373291016,57.099998474121094,58.63999938964844,58.214210510253906,4851495,,,,,,,,,,39.21833235341374,,,50,50,50
2023-11-08,56.43000030517578,57.20000076293945,55.849998474121094,55.90999984741211,55.50403594970703,2772875,,,,,,,,,,19.852410256903017,,,0,50,50
2023-11-09,53.13999938964844,53.869998931884766,53.130001068115234,53.52000045776367,53.13138961791992,3845828,,,,,,,,,,12.88804718393846,,,0,50,50
2023-11-10,53.5,53.5099983215332,52.599998474121094,53.2599983215332,52.87327575683594,1686898,,,,,,,,,,12.30122610823047,,,0,50,50
2023-11-13,53.0099983215332,53.63999938964844,52.81999969482422,53.63999938964844,53.250518798828125,1108532,,,,,,,,,,19.036077831471204,,,0,50,50
2023-11-14,53.70000076293945,53.970001220703125,53.47999954223633,53.970001220703125,53.578121185302734,727011,,,,,,,,,,25.266154512625853,,,50,50,50
2023-11-15,55.349998474121094,56.06999969482422,55.16999816894531,55.619998931884766,55.21614074707031,1149268,,,,,,,,,,49.53575542944432,,,50,50,50
2023-11-16,55.81999969482422,55.91999816894531,55.459999084472656,55.72999954223633,55.325340270996094,604843,,,,,,,,,,50.8654564354668,39.67451910868563,,50,50,50
2023-11-17,56.209999084472656,56.68000030517578,56.150001525878906,56.41999816894531,56.01033020019531,742269,,,,,,,,,,59.27856413455517,44.24457644340707,,50,50,50
2023-11-20,55.54999923706055,55.80500030517578,55.46500015258789,55.529998779296875,55.126792907714844,823683,,,,,,,,,,46.453964831203955,40.031942822274544,,50,50,50
2023-11-21,55.68000030517578,56.13999938964844,55.29999923706055,56.029998779296875,55.62316131591797,741615,,,,,,,,,,53.51614193101619,43.2982362332065,,50,50,50
2023-11-22,57.099998474121094,57.470001220703125,56.779998779296875,57.220001220703125,56.80452346801758,1219999,,,,,,,,,,66.6153702189915,50.24432557005861,,50,50,50
