Date,Open,High,Low,Close,Adj Close,Volume,EMA20,EMA26,EMA50,DEMA20,DEMA26,DEMA50,MACD,MACD-HISTOGRAM,MACD-SIGNAL,RSI5,RSI14,RSI21,RSI5SIGNAL,RSI14SIGNAL,RSI21SIGNAL
2022-01-20,176.0800018310547,178.8800048828125,175.875,176.6300048828125,176.6300048828125,182509,,,,,,,,,,,,,50,50,50
2022-01-21,174.5,175.0,172.0,172.5,172.5,319629,,,,,,,,,,,,,50,50,50
2022-01-24,162.22000122070312,167.5,162.22000122070312,166.25,166.25,281410,,,,,,,,,,,,,50,50,50
2022-01-25,163.72999572753906,164.0,158.22999572753906,159.25,159.25,390875,,,,,,,,,,,,,50,50,50
2022-01-27,157.0500030517578,160.50999450683594,150.0,150.72999572753906,150.72999572753906,385342,,,,,,,,,,,,,50,50,50
2022-01-28,151.97999572753906,151.97999572753906,148.0,149.27000427246094,149.27000427246094,781392,,,,,,,,,,0.0,,,0,50,50
2022-01-31,158.0,161.6699981689453,157.1999969482422,161.41000366210938,161.41000366210938,205640,,,,,,,,,,46.233323513347145,,,50,50,50
2022-02-01,171.10000610351562,175.0,170.6999969482422,171.1999969482422,171.1999969482422,1140970,,,,,,,,,,63.32538427912028,,,50,50,50
2022-02-02,169.0,169.0,160.06500244140625,161.5500030517578,161.5500030517578,1192176,,,,,,,,,,45.50270155572866,,,50,50,50
2022-02-03,146.0,148.72999572753906,143.3699951171875,145.8000030517578,145.8000030517578,1786737,,,,,,,,,,28.905393363396332,,,50,50,50
2022-02-04,145.82000732421875,148.5,145.80999755859375,147.0800018310547,147.0800018310547,1727539,,,,,,,,,,31.445632568850858,,,50,50,50
2022-02-07,152.85000610351562,153.0,150.11000061035156,151.60000610351562,151.60000610351562,3236157,,,,,,,,,,40.784842736522364,,,50,50,50
2022-02-08,142.0,143.2100067138672,140.5500030517578,142.0,142.0,346317,,,,,,,,,,29.95198009851643,,,50,50,50
